epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,62992.2,0.40435,0.35474,0.90145,0.65,0.72833,0.75297,0.64608,0.84936,1.46153,1.38969,0.000346133,0.000346133,0.000346133
153,63384.1,0.39888,0.35005,0.89783,0.64862,0.72771,0.75264,0.64642,0.84949,1.4628,1.39154,0.000340254,0.000340254,0.000340254
154,63777.7,0.4024,0.35629,0.90088,0.64652,0.72909,0.75319,0.64688,0.84892,1.46466,1.39272,0.000334402,0.000334402,0.000334402
155,64170.6,0.4003,0.35264,0.90109,0.64709,0.72867,0.75307,0.64672,0.84837,1.46508,1.3933,0.000328576,0.000328576,0.000328576
156,64563.8,0.39573,0.35155,0.89708,0.65075,0.72166,0.75381,0.64756,0.84821,1.46667,1.39425,0.000322778,0.000322778,0.000322778
157,64957.4,0.39728,0.35207,0.89764,0.65122,0.72104,0.75338,0.64728,0.84786,1.46916,1.39515,0.000317009,0.000317009,0.000317009
158,65350.8,0.39587,0.35179,0.89777,0.64624,0.72658,0.75317,0.64726,0.8476,1.47058,1.39686,0.00031127,0.00031127,0.00031127
159,65742.1,0.39327,0.34756,0.89748,0.64716,0.72954,0.75314,0.64751,0.84724,1.4725,1.39802,0.000305561,0.000305561,0.000305561
160,66134,0.39063,0.35044,0.89485,0.64667,0.72878,0.75406,0.64798,0.84678,1.47546,1.39925,0.000299884,0.000299884,0.000299884
161,66525.9,0.38832,0.34644,0.89733,0.67019,0.69169,0.75371,0.64785,0.84589,1.47748,1.40021,0.000294239,0.000294239,0.000294239
162,66917.3,0.39036,0.34921,0.89719,0.66937,0.69746,0.75301,0.64739,0.84563,1.47879,1.40173,0.000288628,0.000288628,0.000288628
163,67310.3,0.38617,0.34458,0.89458,0.65378,0.71826,0.75301,0.64788,0.84553,1.47966,1.40342,0.00028305,0.00028305,0.00028305
164,67701.4,0.38261,0.34149,0.89235,0.67074,0.69388,0.75345,0.64838,0.84529,1.48115,1.40523,0.000277508,0.000277508,0.000277508
165,68095.2,0.38374,0.34369,0.89312,0.67024,0.69493,0.75342,0.64868,0.84542,1.4837,1.40728,0.000272002,0.000272002,0.000272002
166,68486.9,0.3822,0.3425,0.89291,0.66929,0.69568,0.75332,0.64835,0.8454,1.48502,1.40897,0.000266532,0.000266532,0.000266532
167,68880.7,0.38152,0.34012,0.89111,0.66974,0.69444,0.75308,0.6483,0.84527,1.48903,1.41041,0.0002611,0.0002611,0.0002611
168,69273.7,0.38019,0.34244,0.89247,0.66889,0.69582,0.75258,0.64796,0.8452,1.49219,1.41172,0.000255707,0.000255707,0.000255707
169,69664.4,0.38059,0.34055,0.88969,0.66174,0.70647,0.75253,0.64812,0.84516,1.49526,1.4136,0.000250352,0.000250352,0.000250352
170,70057.1,0.37742,0.33911,0.89063,0.66017,0.70808,0.75245,0.6484,0.84541,1.49982,1.41603,0.000245039,0.000245039,0.000245039
171,70448.6,0.37559,0.33932,0.89008,0.6632,0.70368,0.752,0.64777,0.84511,1.5026,1.41762,0.000239766,0.000239766,0.000239766
172,70842.9,0.37404,0.33758,0.891,0.66283,0.70491,0.75249,0.64863,0.84503,1.50627,1.41851,0.000234535,0.000234535,0.000234535
173,71236.6,0.37319,0.33448,0.8888,0.66702,0.69842,0.75255,0.64816,0.84474,1.51081,1.41991,0.000229347,0.000229347,0.000229347
174,71629.3,0.37007,0.33248,0.88613,0.66765,0.69485,0.75184,0.64822,0.84441,1.51279,1.42089,0.000224202,0.000224202,0.000224202
175,72021.1,0.373,0.33492,0.88706,0.66753,0.69705,0.7516,0.64819,0.84372,1.51326,1.42086,0.000219102,0.000219102,0.000219102
176,72416.1,0.36877,0.33305,0.88615,0.66733,0.69902,0.75177,0.64808,0.84338,1.51683,1.42134,0.000214046,0.000214046,0.000214046
